NO,KATEGORI,NAMA ALAT,BRAND,KODE ALAT,TAHUN,SPESIFIKASI,KONDISI,KETERANGAN,SUMBER FILE
  ▌ ACCESS POINT,,,,,,,,,
99,Keyboard & Mouse,Keyboard,,K/D-13.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
100,Keyboard & Mouse,Keyboard,,K/D-14.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
101,Keyboard & Mouse,Keyboard,,K/D-15.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
102,Keyboard & Mouse,Keyboard,,K/D-16.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
103,Keyboard & Mouse,Keyboard,,K/D-17.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
104,Keyboard & Mouse,Keyboard,,K/D-18.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
105,Keyboard & Mouse,Keyboard,,K/D-19.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
106,Keyboard & Mouse,Keyboard,,K/D-20.25,2025,D302U USB,Baik,,Data_Lab_SB_II__2026.xlsx
107,Keyboard & Mouse,Mouse,DAC,K/D-01.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
108,Keyboard & Mouse,Mouse,DAC,K/D-02.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
109,Keyboard & Mouse,Mouse,DAC,K/D-03.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
110,Keyboard & Mouse,Mouse,DAC,K/D-04.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
111,Keyboard & Mouse,Mouse,DAC,K/D-05.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
112,Keyboard & Mouse,Mouse,DAC,K/D-06.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
113,Keyboard & Mouse,Mouse,DAC,K/D-07.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
114,Keyboard & Mouse,Mouse,DAC,K/D-08.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
115,Keyboard & Mouse,Mouse,DAC,K/D-09.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
116,Keyboard & Mouse,Mouse,DAC,K/D-10.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
117,Keyboard & Mouse,Mouse,DAC,K/D-11.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
118,Keyboard & Mouse,Mouse,DAC,K/D-12.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
119,Keyboard & Mouse,Mouse,DAC,K/D-13.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
120,Keyboard & Mouse,Mouse,DAC,K/D-14.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
121,Keyboard & Mouse,Mouse,DAC,K/D-15.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
122,Keyboard & Mouse,Mouse,DAC,K/D-16.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
123,Keyboard & Mouse,Mouse,DAC,K/D-17.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
124,Keyboard & Mouse,Mouse,DAC,K/D-18.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
125,Keyboard & Mouse,Mouse,DAC,K/D-19.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
126,Keyboard & Mouse,Mouse,DAC,K/D-20.25,,D1360 USB,Baik,,Data_Lab_SB_II__2026.xlsx
  ▌ KOMPONEN ROBOT,,,,,,,,,
